MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English 
E02000919,Waltham Forest 025,17.47,29.44,28.22,17.18,7.69,167.1,17.1,17,9.8,25.6,44.2,31.2,14.9,26.1
E02000920,Waltham Forest 026,20.12,30.2,23.96,18.6,7.12,55.4,15.3,13.7,16.5,29.4,36.3,29.3,24.8,26.2
E02000921,Waltham Forest 027,22.67,26.6,25.81,17.99,6.94,133,16.8,13.8,17.7,29.5,40.1,23.1,26.1,24.1
E02000922,Waltham Forest 028,20.57,29.4,24.76,18.34,6.93,164,18.2,14.5,14.3,26.4,44,20.8,26,23.4
E02000923,Wandsworth 001,12.62,24.32,29.54,20.73,12.79,72.7,11.1,21.3,7,39.9,79.4,5.9,7,12.8
E02000924,Wandsworth 002,15.21,31.7,28.67,17.14,7.29,57.4,7.7,15.8,13.8,40.9,56.3,9.8,22.2,20.8
E02000925,Wandsworth 003,20.58,25.11,26.87,18.59,8.84,180,12.1,13.8,17.4,36.1,60.4,6.8,23.7,15.1
E02000926,Wandsworth 004,12.12,28.44,33.5,17.61,8.33,144.8,9.6,21.8,8.4,37.5,72.8,8,11.2,12.7
E02000927,Wandsworth 005,13.05,29.81,29.1,18.31,9.73,155.5,9.9,20,11.7,35.3,75.4,4.9,12.5,6.9
E02000928,Wandsworth 006,17.26,20.32,31.91,20.56,9.94,88.9,19.7,25.9,6,29.2,88.9,4.1,2.3,5.4
E02000929,Wandsworth 007,20.49,27.47,24.86,17.42,9.76,179.6,10.6,12.2,20.8,37.2,46,10.4,33.3,17.4
E02000930,Wandsworth 008,11.36,35.33,34.15,13.14,6.03,123.9,11.5,22.7,6.7,30.4,79.2,5.8,8.4,8.1
E02000931,Wandsworth 009,16.93,26.15,36.25,14.77,5.89,111.4,19.8,24,3.9,27.5,87.1,3.7,4.3,6
E02000932,Wandsworth 010,11.6,29.44,37.03,15.2,6.73,81.3,12.9,27.8,3.6,32.1,84.2,7.8,2.9,7.9
E02000933,Wandsworth 011,15.41,23.85,27.62,21.18,11.95,80,16.6,24.1,5.8,32.7,83.4,7.2,3.4,8.7
E02000934,Wandsworth 012,11.13,32.2,34.74,15.78,6.15,119.5,9.8,25.2,8,33.8,76.7,6.5,10.6,7.3
E02000935,Wandsworth 013,19.96,34.57,19.4,15.84,10.23,49.1,14.4,9.8,20.9,34.8,64.1,10.5,15.4,18.8
E02000936,Wandsworth 014,10.95,27.8,32.29,16.45,12.51,94.3,10,22.8,5.4,38.2,79.4,8.8,4.3,10.7
E02000937,Wandsworth 015,21.78,19.38,33.18,19.3,6.36,64,23.8,23.4,6.1,27.9,87.1,3.5,5.2,5.6
E02000938,Wandsworth 016,18.78,23.81,24.36,19.4,13.65,55.6,14.3,15.7,14.5,35.5,71.3,8.8,11.2,14.6
E02000939,Wandsworth 017,23.78,16.68,28.85,20.32,10.37,110.3,29.5,22.5,6.4,23,86.3,5,3.9,7.1
E02000940,Wandsworth 018,17.5,27.2,32.33,15.3,7.67,112.4,12.8,21.7,12.4,33.2,62.6,13.2,15.8,15.1
E02000941,Wandsworth 019,19.05,20.25,34.52,18.68,7.49,94.9,20.7,26,6.3,29,82.6,6.6,6.3,5.3
E02000942,Wandsworth 020,19.75,20.99,28.77,21.08,9.41,91.3,23.3,24.7,6.1,25.8,79.3,12.4,3,9.6
E02000943,Wandsworth 021,14.87,28.2,33.77,15.82,7.36,118.6,15.2,23.7,5.7,32.2,79.4,8,7.5,7.7
E02000944,Wandsworth 022,19.82,25.37,28.27,18.03,8.52,120.1,16,17,16.8,31.1,61.5,16.8,12.9,19.3
E02000945,Wandsworth 023,17.06,34.13,20.89,17.41,10.5,35.5,13.8,12.8,15.5,32.8,65.4,12.2,12.2,20
E02000946,Wandsworth 024,13.76,26.74,34.16,18.15,7.2,78.5,15.6,25.3,9.1,28.2,72.5,8.8,12.1,8.1
E02000947,Wandsworth 025,16.96,19.91,37.74,17.66,7.73,99.9,20.5,26,5.8,30.7,81.8,8.8,4.1,8.5
E02000948,Wandsworth 026,12.35,31.94,34.95,13.45,7.31,73.3,11.8,25.8,6,31.6,74.5,10.8,8.8,7.9
E02000949,Wandsworth 027,17.14,23.76,30.81,19.69,8.59,68.2,19.3,24.5,4.9,31.5,82.4,7.3,5.3,6.3
E02000950,Wandsworth 028,17.7,23.37,30.17,19.24,9.53,85.8,17.4,21.2,9.6,31.6,73.4,12.7,6.1,14
E02000951,Wandsworth 029,13.34,29.2,30.86,17.77,8.83,131.2,12,23,7.5,34.6,71.4,12.3,9.8,8.9
E02000952,Wandsworth 030,16.64,25.6,30.54,19.16,8.05,106.5,15.2,21.4,8.4,32.9,72.5,10.7,10.4,9.9
E02000953,Wandsworth 031,14.79,28.05,36.48,14.29,6.39,105.6,16,23.5,6.3,37,71.7,12.6,9.7,10.1
E02000954,Wandsworth 032,18.7,25.84,28.31,17.39,9.77,139.8,18.5,19.7,10.9,23.2,52.4,28.4,12.6,15
E02000955,Wandsworth 033,19.59,27.38,25.41,17.29,10.34,117.6,16.4,16.2,16,25.8,46.5,29.4,15.4,16.7
E02000956,Wandsworth 034,17.12,33.37,27.07,15.21,7.23,89.1,12.2,16.9,12.9,30.4,49,23.6,18.1,18.6
E02000957,Wandsworth 035,16.89,27.05,31.65,15.73,8.69,145.8,15.4,20.2,10.5,28.2,52.4,25.8,14.2,19.8
E02000958,Wandsworth 036,22.28,20.81,22.88,23.06,10.98,95,22.8,17,12.4,28.5,59.9,18.5,14.2,12.7
E02000959,Wandsworth 037,21.78,20.89,30.18,18.6,8.56,145.7,17.2,17.1,14.4,33.8,53.4,14.1,23,18.7
E02000960,Westminster 001,16.28,19.09,26.28,21.4,16.93,73,15.6,18.3,6.9,40.8,61.3,21.2,3.3,22.1
E02000961,Westminster 002,20.75,18.83,27.72,20.76,11.95,118.5,18.3,18.3,11.2,35.4,62.5,14.3,5.7,21.8
E02000962,Westminster 003,15.48,20.04,27.31,20.28,16.89,125.2,11.9,15.1,7.4,50.4,55.2,20.3,5.6,26.9
E02000963,Westminster 004,22.68,20.94,25.69,20.52,10.17,218.4,15.6,14.1,21.6,33.3,47.1,14.5,20.1,19.6
E02000964,Westminster 005,18.74,22.81,30.51,19.33,8.61,251.6,11.9,16.1,15.9,39.4,49.9,12.1,17.7,21.4
E02000965,Westminster 006,15.75,23.29,37.42,16.91,6.63,176.2,13.6,20.6,10.2,35.8,66,10.4,8.3,19
E02000966,Westminster 007,15.46,18.39,33.98,22.74,9.43,170.9,14.6,23.1,6.2,41.3,70.1,10.1,4.1,20.3
E02000967,Westminster 008,10,31.9,28.3,18.52,11.28,54.3,9.4,20.5,4.6,43.5,60.7,21.2,3.3,27.4
E02000968,Westminster 009,23.23,22.42,23.05,19.95,11.36,240.2,14.6,12,19.4,37.7,38.5,21.4,13.3,33
E02000969,Westminster 010,23.64,20.68,26.56,18.76,10.37,174.7,16.2,11.6,20.1,35.5,42.7,15.1,16,33
E02000970,Westminster 011,9.41,23.79,31.82,22.31,12.68,85.8,8.7,20.8,3.5,48.4,73.2,11.7,2.8,23.3
E02000971,Westminster 012,10.72,29.12,30.51,19.35,10.31,154,8.4,18.3,5.5,49.8,63.6,14.1,3.5,31
E02000972,Westminster 013,7.01,31.07,31.9,20.62,9.41,66.7,5.2,17.6,4.7,55.6,67.5,16.2,5,24.3
E02000973,Westminster 014,12.97,21.65,35.21,20.15,10.02,185.8,9.6,20.2,6.5,48.4,69.6,10.5,6.2,23.1
E02000974,Westminster 015,14.5,25.95,29.13,19.32,11.1,129.6,10.1,15.3,7.6,50.7,52.2,16.3,4.9,37.9
E02000975,Westminster 016,10.12,30.5,36.37,15.83,7.18,184.4,8.6,21.5,4.3,49.5,66.2,14.7,3,32.7
E02000976,Westminster 017,11.5,31.27,32.66,15.71,8.86,212.8,8.8,18.2,5.8,47.2,63,14.4,4.9,35.1
E02000977,Westminster 018,6.05,31.21,28.25,22.54,11.95,32.4,4.9,17.7,4.1,55.6,69.3,17.7,3.6,21.8
E02000978,Westminster 019,11.47,29.49,22.71,23.16,13.17,26.4,11.6,20.3,4.7,45.1,69.6,14.9,2.4,25.7
E02000979,Westminster 020,12.72,24.6,26.38,24.37,11.93,60.2,9.9,21.1,6.7,48,73.6,10.7,6.2,20.5
E02000980,Westminster 021,14.71,22.41,26.68,22.95,13.25,201.5,10.1,17.5,10.2,47.2,67.9,13.7,7.9,20.4
E02000981,Westminster 022,10.15,27.53,30.93,21.9,9.49,250.5,7.9,21.6,5.3,48,79.1,8.1,4.8,16.5
E02000982,Westminster 023,17.58,20.53,26.19,22.31,13.4,131.3,10.7,15.6,11.4,48.2,64.3,14.1,8.6,21.7
E02000983,Westminster 024,14.9,20.74,27.27,21.75,15.34,229.2,9.1,15.8,9.5,50.3,70.3,11.5,7,19.1
,,,,,,,,17.8,18.9,12.7,31.6,,,,
