MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000088,Bexley 024,85.4,49.4,25.9,104.6,82.2,83.9
E02000089,Bexley 025,83.8,49.2,25.5,81.4,82.7,81.2
E02000090,Bexley 026,81.8,48.7,21.8,103,76.9,81.3
E02000091,Bexley 027,82.2,46.7,21.4,100.8,79.6,84.9
E02000092,Bexley 028,80,44.2,26.5,99.9,78.4,81.6
E02006785,Bexley 029,81.7,43.8,22.6,111.9,79.5,84.2
E02000093,Brent 001,85.2,44.4,21.2,75,82.5,82.8
E02000094,Brent 002,86.1,49.1,20.8,99.3,81.9,84.7
E02000095,Brent 003,83.8,44.4,20,74,82.2,85.4
E02000096,Brent 004,85.2,46.6,16.9,88.8,83.2,87.6
E02000097,Brent 005,85.2,44.9,22.8,92.9,79.5,88.1
E02000098,Brent 006,85.5,47.8,17.6,89.1,81.1,80.7
E02000099,Brent 007,87.3,48.7,18.2,97,82.3,87
E02000100,Brent 008,87.7,49.4,16,90.6,81,79.2
E02000101,Brent 009,83.9,46.9,21.3,86.6,76.9,81.3
E02000102,Brent 010,85.1,45.2,22.6,88.9,80.2,88.6
E02000103,Brent 011,84.4,47.3,21,90.6,81.3,87
E02000104,Brent 012,82.9,45.3,19,89.1,80.2,83.6
E02000105,Brent 013,87.1,48.6,20.6,71.5,84.4,85.8
E02000106,Brent 014,86.4,47.2,22.1,94.9,79.2,84.3
E02000107,Brent 015,87.2,51.7,16.4,90.7,77.4,83
E02000108,Brent 016,85.5,47.2,22.9,93.9,80,83.3
E02000109,Brent 017,85.3,46.6,24,80.6,77.4,84.8
E02000110,Brent 018,86.3,49.3,16.3,93,79.2,86.9
E02000111,Brent 019,84.6,47.3,22.5,67.3,77.7,83.5
E02000112,Brent 020,85.2,45.1,24.6,81.4,78.6,83.8
E02000113,Brent 021,83.4,47.3,30.7,83.5,77.4,84.7
E02000114,Brent 022,87.9,52,16.6,91.8,75,86.1
E02000115,Brent 023,85.1,52,15.2,109.3,79.4,83.2
E02000116,Brent 024,85.8,47.3,22.2,100.9,72.2,82.7
E02000117,Brent 025,83.7,45.8,28.6,89.7,75.3,82.7
E02000118,Brent 026,85.3,45.4,21.9,81.1,77.4,85.8
E02000119,Brent 027,83.6,48.9,31.1,103.9,75.2,83.1
E02000120,Brent 028,87.3,52.5,17.9,96.6,76.1,82.5
E02000121,Brent 029,85.7,45.7,22.7,81.6,77.7,83.7
E02000122,Brent 030,85.9,51.7,16.3,98.7,84.7,86
E02000123,Brent 031,86,49,24.7,102.8,74.9,84.9
E02000124,Brent 032,88.8,56.1,17.8,80.9,79.6,84.7
E02000125,Brent 033,86.9,51.1,20.5,93,79.1,85
E02000126,Brent 034,82.8,46.5,28.1,91,74.7,84.8
E02000127,Bromley 001,80.5,44,26.4,113.8,75.9,81.9
E02000128,Bromley 002,85.7,52,22.7,98.1,80.7,82.5
E02000130,Bromley 004,86.3,51.1,21.6,100.4,76.7,82.5
E02000131,Bromley 005,87.2,49.7,21.4,93.9,76.6,82.9
E02000132,Bromley 006,85.4,49.7,17.8,83.1,78.5,82.7
E02000133,Bromley 007,85.5,53.7,16.2,96.8,80.4,83.1
E02000134,Bromley 008,85.3,50.7,17.4,98.7,78.9,81.1
E02000135,Bromley 009,82.4,45.5,26.5,104.4,73.6,81.8
E02000136,Bromley 010,80.2,47.2,22.7,92.1,78.6,82.1
E02000137,Bromley 011,85.6,50.7,17.3,95.2,78,81.4
E02000138,Bromley 012,85.5,50.6,16,83.7,82.9,87.2
E02000139,Bromley 013,87.7,53.3,21.8,91.3,78.7,84.6
E02000140,Bromley 014,80.6,44.4,27.4,105.2,76.5,81.9
E02000141,Bromley 015,86.7,49.1,23.8,105.4,77.6,83.7
E02000142,Bromley 016,86.2,53.6,20.1,99.1,78.9,81.5
E02000144,Bromley 018,88.5,53.5,17.9,89.6,82.5,87.1
E02000145,Bromley 019,82.7,45.4,28.4,121.8,76.5,81.9
E02000146,Bromley 020,85.3,52.6,21,92.2,77.7,81.7
E02000147,Bromley 021,87,54.9,17.9,85.4,84.5,89.1
E02000148,Bromley 022,86.2,53.1,19.9,83.7,81.1,90.1
E02000149,Bromley 023,83,45.7,25.3,100.1,80.1,83.1
E02000150,Bromley 024,86.5,53.3,23.5,83.8,81.8,86.8
E02000151,Bromley 025,86.1,50.9,20.7,91.8,85,87.4
E02000152,Bromley 026,81.9,47.4,24.5,102.2,78.2,83.9
E02000153,Bromley 027,88.2,53.8,22.3,98.4,80.1,88.5
E02000154,Bromley 028,85.6,50.7,20.8,80.7,81.5,85.8
E02000155,Bromley 029,80.5,43.9,25.5,98.7,79.9,83.4
E02000156,Bromley 030,85.2,49.9,20.9,92.6,81.7,84
E02000157,Bromley 031,84.8,50,20.5,87.2,82.9,89
E02000158,Bromley 032,82.8,46.7,22.7,92.8,80.9,86.9
E02000159,Bromley 033,85.8,52.6,21.3,91.4,84.1,87.5
E02000160,Bromley 034,86.2,51.1,21.9,107.9,80.3,83.7
E02000161,Bromley 035,86.5,51.1,21.9,87,83,86.5
E02000162,Bromley 036,82.6,48.1,22.4,89.3,80.2,86.2
E02000163,Bromley 037,86,51.8,22.3,86.5,81.9,86.3
E02000165,Bromley 039,88.4,51.9,27.4,95.9,80.9,84.9
