MSOA code,Total_Death
E02000474,27
E02000475,47
E02000476,25
E02000477,31
E02000478,23
E02000479,27
E02000480,42
E02000481,41
E02000482,20
E02000483,37
E02000484,22
E02000485,23
E02000486,31
E02000487,33
E02000488,33
E02000489,23
E02000490,23
E02000491,29
E02000492,24
E02000493,13
E02000494,14
E02000495,49
E02000496,35
E02000497,42
E02000498,15
E02000499,14
E02000500,13
E02000501,27
E02000502,22
E02000503,12
E02000504,16
E02000506,34
E02000507,18
E02000508,15
E02000509,11
E02000510,13
E02000511,25
E02000512,14
E02000513,18
E02000514,24
E02000515,14
E02000516,21
E02000517,22
E02000518,22
E02000519,22
E02000520,44
E02000521,25
E02000522,30
E02000523,21
E02000524,16
E02000525,19
E02000526,14
E02000528,28
E02000529,19
E02000530,25
E02000531,14
E02000532,10
E02000533,5
E02000534,11
E02000535,29
E02000536,24
E02000537,20
E02000538,24
E02000539,21
E02000540,26
E02000541,43
E02000542,28
E02000543,15
E02000544,17
E02000545,11
E02000546,20
E02000547,42
E02000548,20
E02000549,37
E02000550,11
E02000551,13
E02000552,11
E02000553,14
E02000554,12
E02000555,21
E02000556,16
E02000557,10
E02000558,19
E02000559,8
E02000560,11
E02000561,11
E02000562,15
E02000563,16
E02000564,17
E02000565,14
E02000566,9
E02000567,13
E02000568,19
E02000569,19
E02000570,7
E02000571,9
E02000572,14
E02000573,26
E02000574,17
E02000575,12
E02000576,10
E02000577,13
E02000578,30
E02000579,13
E02000580,16
E02000581,15
E02000582,12
E02000583,6
E02000584,7
E02000585,10
E02000586,5
E02000587,8
E02000588,6
E02000589,9
E02000590,13
E02000591,12
E02000592,6
E02000593,8
E02000594,24
E02000595,10
E02000596,17
E02000597,11
E02000598,10
E02000599,30
E02000600,18
E02000601,8
E02000602,19
E02000603,17
E02000604,15
E02000605,21
E02000606,10
E02000607,5
E02000608,7
E02000609,17
E02000610,21
E02000611,9
E02000612,26
E02000613,24
E02000614,15
E02000615,14
E02000616,7
E02000617,12
E02000619,20
E02000620,14
E02000621,14
E02000622,12
E02000623,11
E02000624,18
E02000625,14
E02000626,21
E02000627,13
E02000628,29
E02000629,6
E02000630,12
E02000631,6
E02000632,8
E02000633,16
E02000634,25
E02000635,16
E02000636,13
E02000637,8
E02000638,27
E02000639,10
E02000640,14
E02000641,21
E02000642,13
E02000643,18
E02000644,8
E02000645,9
E02000646,13
E02000647,23
E02000648,25
E02000649,16
E02000650,11
E02000651,19
E02000652,9
E02000653,18
E02000654,18
E02000655,23
E02000657,13
E02000658,12
E02000659,6
E02000660,10
E02000661,9
E02000662,9
E02000663,11
E02000664,27
E02000665,12
E02000666,19
E02000667,12
E02000668,19
E02000669,17
E02000670,21
E02000671,9
E02000672,17
E02000673,3
E02000674,20
E02000675,18
E02000676,13
E02000677,17
E02000678,9
E02000679,19
E02000680,11
E02000681,16
E02000682,11
E02000683,20
E02000685,18
E02000686,14
E02000687,21
E02000689,3
E02000690,14
E02000691,9
E02000692,32
E02000693,19
E02000694,9
E02000695,20
E02000696,15
E02000697,5
E02000698,8
E02000699,7
E02000700,15
E02000701,23
E02000702,18
E02000703,17
E02000704,27
E02000705,31
E02000706,20
E02000707,13
E02000708,11
E02000709,14
E02000710,33
E02000711,18
E02000712,32
E02000713,17
E02000714,17
E02000715,42
E02000716,29
E02000717,18
E02000718,11
E02000719,18
E02000720,25
E02000721,30
E02000722,18
E02000723,34
E02000724,31
E02000725,14
